dayofweek,timeofday,area,grp,address,city,state,zip,type,misc,geocode
SUN,07:00 AM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-DR-HF,NULL,NULL
SUN,07:45 AM,D,St Nicholas Group,3134 Beach Blvd,Jacksonville,FL,32207,O-D-HF,NULL,NULL
SUN,08:00 AM,H,Morning After Group,18 S Dixie Hwy,St Augustine,FL,32084,O-OL-HF,NULL,NULL
SUN,08:00 AM,H,Surfs Up Group,350 A1a Beach Blvd,St Augustine,FL,32080,C-D-SS,NULL,NULL
SUN,08:30 AM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,C-D-HF,NULL,NULL
SUN,09:00 AM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-HF,NULL,NULL
SUN,09:00 AM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
SUN,09:00 AM,F,Downtown Group,32 N 3rd St,Fernandina Beach,FL,32034,C-S-HF,NULL,NULL
SUN,09:00 AM,H,RAW Group,318 Osceola St,Palatka,FL,32177,O-D-S,The Lions Club,NULL
SUN,10:00 AM,F,Kingsland Recovery Group,313 Central Ave,Kingsland,GA,31548,O-D-BBS,Camden Serenity Club - (912) 265-0892,NULL
SUN,10:00 AM,A,Phoenix Mens Group,51 E First St,Jacksonville,FL,32206,M-C-D-HF,NULL,NULL
SUN,10:00 AM,A,Riverview Study Group,7944 Smyrna St,Jacksonville,FL,32208,O-D 2nd & 4th Sunday,NULL,NULL
SUN,10:00 AM,H,Sunday Morning Group,400 Health Park Blvd,St Augustine,FL,32086,O-D-HF,Flagler Hospital Osceola Room,NULL
SUN,10:00 AM,A,Trout River Group,9745 Lem Turner,Jacksonville,FL,32208,O-D-Beg-HF,NULL,NULL
SUN,11:00 AM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-HF,NULL,NULL
SUN,11:00 AM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
SUN,11:00 AM,F,Fernandina Beach Group,906 S 7th St,Fernandina Beach,FL,32034,O-D-HF,Amelia Room 904-261-8349,NULL
SUN,11:00 AM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-D-HF,NULL,NULL
SUN,11:00 AM,G,Green Cove Springs Group,610 Ferris St,Green Cove Springs,FL,32043,O-D-HF,Nanas House-2 blks W of US 17,NULL
SUN,11:00 AM,D,Language of the Heart,6500 Ft Caroline Rd,Jacksonville,FL,32277,O-D-HF,NULL,NULL
SUN,11:00 AM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF,NULL,NULL
SUN,11:00 AM,B,Westside Group,4615 Lexington Ave,Jacksonville,FL,32210,O-D-HF,NULL,NULL
SUN,12:00 PM,H,New Life Group,18 S Dixie Hwy,St Augustine,FL,32084,O-D-HF,NULL,NULL
SUN,01:00 PM,B,Winners,1400 Cassat Ave,Jacksonville,FL,32205,O-D-HF,In Strip Mall-End Unit,NULL
FRI,06:00 PM,C,Fruit Cove 11th Step Meditatio,2777 Race Track Rd,St Johns,FL,32259,O-Med (S-Last Fri),Unity Church for Creative Living,NULL
SUN,05:30 PM,D,Arlington Group,1343 Cesery Terr,Jacksonville,FL,32211,O-D,NULL,NULL
SUN,05:30 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-BBS-HF,NULL,NULL
SUN,05:30 PM,H,Happy Hour Group,18 S Dixie Hwy,St Augustine,FL,32084,O-BS-Beg-HF,NULL,NULL
SUN,05:30 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-HF-YP,NULL,NULL
SUN,05:30 PM,B,Westside Group,4615 Lexington Ave,Jacksonville,FL,32210,O-BBS-HF,NULL,NULL
SUN,06:00 PM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-Beg-HF (1.5 hrs long),NULL,NULL
SUN,06:00 PM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-BS,NULL,NULL
SUN,06:00 PM,C,Fruit Cove Womens Group,1221 State Road 13,St Johns,FL,32259,L-O-BBS,St Patricks Episcopal,NULL
SUN,06:30 PM,B,One Step at a Time,634 Lomax St,Jacksonville,FL,32204,C-D-HF,Unity Church - May St entrance,NULL
SUN,06:30 PM,G,Sojourn Group,557 Madison,Orange Park,FL,32065,L-O-D-HF,Grace Free Will Baptist Church,NULL
SUN,06:30 PM,A,Step Brothers,1147 W 21st St,Jacksonville,FL,32209,M-O-BS-SM,NULL,NULL
SUN,07:00 PM,E,BLIS,400 San Juan Dr,Ponte Vedra Beach,FL,32082,L-O-BS,Christ Episcopal Church-Park on Second Floor of Ga,NULL
SUN,07:00 PM,F,Callahan Group,45031 Historical Lane,Callahan,FL,32011,O-D,Greater Mt Pleasant Baptist Church,NULL
SUN,07:00 PM,D,Fiesta Group,3645 Spring Park Rd,Jacksonville,FL,32207,O-SS-HF,NULL,NULL
SUN,07:00 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,C-BS-HF,NULL,NULL
SUN,07:00 PM,H,Sandpiper Group,1650 A1A S,St Augustine,FL,32080,O-TBS-HF,Anastasia Baptist Church Annex-Rectory Building in,NULL
SUN,07:30 PM,A,Fresh Start Group,51 E First St,Jacksonville,FL,32206,O-SS-HF,NULL,NULL
SUN,07:30 PM,C,Sunset Group,11924 San Jose Blvd,Jacksonville,FL,32223,O-D-Beg-HF,First Christian Church of Mandarin,NULL
SUN,08:00 PM,D,Arlington Group,1343 Cesery Terr,Jacksonville,FL,32211,O-D,NULL,NULL
SUN,08:00 PM,H,Azalea City Group,123 S 2nd St,Palatka,FL,32177,O-D,First Presbyterian Church,NULL
SUN,08:00 PM,E,Beaches Unity Group,322 Penman Rd,Jacksonville Beach,FL,32250,O-D-Beg-HF,NULL,NULL
SUN,08:00 PM,C,Central Group,1423 San Marco Blvd,Jacksonville,FL,32207,C-D,NULL,NULL
SUN,08:00 PM,F,Downtown Group,32 N 3rd St,Fernandina Beach,FL,32034,C-D-HF,NULL,NULL
SUN,08:00 PM,G,Green Cove Springs Group,610 Ferris St,Green Cove Springs,FL,32043,O-D-HF,Nanas House-2 blks W of US 17,NULL
SUN,08:00 PM,F,Kingsland Recovery Group,313 Central Ave,Kingsland,GA,31548,O-D-S,Camden Serenity Club - (912) 265-0892,NULL
SUN,08:00 PM,H,Oyster Creek Group,18 S Dixie Hwy,St Augustine,FL,32084,O-D-HF,NULL,NULL
SUN,08:00 PM,A,Riverview Study Group,7944 Smyrna St,Jacksonville,FL,32208,O-BS,NULL,NULL
SUN,08:00 PM,G,Sojourn Group,557 Madison,Orange Park,FL,32065,O-D-HF,Grace Free Will Baptist Church,NULL
SUN,08:00 PM,B,Tradition Group,2911 Riverside Ave,Jacksonville,FL,32205,O-S-SM,NULL,NULL
SUN,08:00 PM,A,Trout River Group,9745 Lem Turner,Jacksonville,FL,32208,O-D,NULL,NULL
SUN,08:00 PM,B,Westside Group,4615 Lexington Ave,Jacksonville,FL,32210,O-S-D-HF,NULL,NULL
SUN,08:00 PM,F,Yulee Florida Group,6 Koen Lane,Yulee,FL,32097,O-D-Bld 6,YMCA - Building 6,NULL
SUN,08:30 PM,G,Orange Park Group,1835 Smith St,Orange Park,FL,32073,O-D-YP-HF,NULL,NULL
SUN,08:30 PM,H,Island Serenity Group,2200 A1A S,St Augustine,FL,32080,O-D-HF,KOA Campground Pavilion,NULL
